"Tabela 6587 - Indicador 9.2.1 - Valor adicionado da indústria em proporção do PIB e per capita"
"Variável - Valor adicionado da indústria de transformação em proporção do PIB (%)"
"Nível";"Brasil e Unidade da Federação";"Ano"
"Nível";"Brasil e Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"BR";"Brasil";"12,7";"12,5";"12,0";"12,0";"11,4";"10,8";"10,6";"10,7"
"UF";"Rondônia";"7,2";"7,5";"8,0";"8,2";"8,1";"7,8";"7,8";"7,5"
"UF";"Acre";"3,8";"3,9";"3,8";"3,5";"3,7";"4,0";"4,1";"4,0"
"UF";"Amazonas";"25,9";"25,7";"24,6";"24,9";"23,7";"22,0";"20,8";"22,0"
"UF";"Roraima";"1,4";"1,3";"1,2";"1,3";"1,3";"1,4";"1,4";"1,4"
"UF";"Pará";"5,4";"5,1";"4,8";"4,6";"4,4";"4,3";"4,3";"4,0"
"UF";"Amapá";"2,0";"1,8";"1,8";"1,6";"1,6";"1,7";"1,9";"1,9"
"UF";"Tocantins";"3,1";"2,8";"2,9";"3,0";"3,1";"3,2";"3,4";"3,1"
"UF";"Maranhão";"3,2";"4,0";"4,0";"4,0";"4,2";"4,2";"4,1";"4,0"
"UF";"Piauí";"4,6";"4,6";"5,6";"5,7";"5,6";"5,7";"5,7";"5,2"
"UF";"Ceará";"9,8";"8,2";"8,1";"8,5";"7,9";"7,3";"7,2";"7,3"
"UF";"Rio Grande do Norte";"6,8";"7,3";"6,9";"6,1";"5,9";"5,7";"5,6";"5,2"
"UF";"Paraíba";"8,2";"7,8";"8,1";"7,9";"8,1";"8,4";"8,3";"8,0"
"UF";"Pernambuco";"8,6";"8,2";"7,9";"7,6";"7,5";"7,8";"8,4";"8,8"
"UF";"Alagoas";"7,4";"8,2";"8,0";"6,6";"6,4";"6,0";"5,8";"5,5"
"UF";"Sergipe";"5,6";"5,9";"5,9";"5,1";"4,0";"4,1";"4,0";"3,8"
"UF";"Bahia";"11,0";"10,7";"11,0";"10,5";"9,8";"9,5";"9,7";"9,5"
"UF";"Minas Gerais";"14,9";"14,6";"13,9";"13,8";"13,2";"12,6";"12,4";"12,4"
"UF";"Espírito Santo";"9,3";"8,4";"7,3";"7,2";"6,7";"7,1";"7,4";"7,6"
"UF";"Rio de Janeiro";"7,0";"7,0";"6,8";"6,9";"6,5";"6,0";"5,7";"5,9"
"UF";"São Paulo";"15,9";"15,6";"14,8";"14,9";"14,2";"13,3";"13,0";"13,3"
"UF";"Paraná";"15,0";"15,5";"15,1";"15,0";"13,8";"13,0";"12,8";"13,0"
